date|CoPartner|Hit
"11/03/19|472|1,038,988"
"12/03/19|476|971,565"
"13/03/19|476|930,921"
"14/03/19|476|951,623"
"15/03/19|480|582,951"
"16/03/19|480|469,661"
"17/03/19|480|413,121"
"18/03/19|480|448,698"
"19/03/19|498|605,976"
"20/03/19|498|624,161"
"21/03/19|498|557,666"
"22/03/19|498|465,570"
"23/03/19|498|391,945"
"24/03/19|498|285,923"
"25/03/19|498|358,753"
"26/03/19|500|517,182"
"27/03/19|500|438,103"
"28/03/19|500|533,287"
"29/03/19|500|505,581"
"30/03/19|500|371,121"
"31/03/19|500|424,052"
"01/04/19|500|483,612"
"02/04/19|506|467,330"
"03/04/19|506|350,910"
"04/04/19|506|430,563"
"05/04/19|506|400,199"
"06/04/19|506|310,058"
"07/04/19|506|241,457"
"08/04/19|506|396,444"
"09/04/19|512|435,537"
"10/04/19|512|433,057"
"11/04/19|512|420,716"
"12/04/19|513|388,183"
"13/04/19|513|309,552"
"14/04/19|513|313,458"
"15/04/19|513|467,007"
"16/04/19|513|489,489"
"17/04/19|513|377,253"
"18/04/19|513|413,430"
"19/04/19|513|295,623"
"20/04/19|513|341,444"
"21/04/19|513|483,063"
"22/04/19|542|533,634"
"23/04/19|541|628,530"
"24/04/19|541|520,251"
"25/04/19|541|516,374"
"26/04/19|541|481,733"
"27/04/19|541|509,170"
"28/04/19|541|447,256"
"29/04/19|541|503,674"
"30/04/19|559|532,813"
"01/05/19|564|430,735"
"02/05/19|564|478,772"
"03/05/19|564|403,947"
"04/05/19|564|351,022"
"05/05/19|564|500,107"
"06/05/19|564|514,494"
"07/05/19|581|548,160"
"08/05/19|581|566,515"
"09/05/19|581|420,329"
"10/05/19|592|477,397"
"11/05/19|592|248,625"
"12/05/19|592|363,203"
"13/05/19|592|540,027"
"14/05/19|592|563,920"
"15/05/19|592|501,495"
"16/05/19|592|491,955"
"17/05/19|592|551,448"
"18/05/19|592|404,164"
"19/05/19|592|301,131"
"20/05/19|602|530,033"
"21/05/19|602|666,857"
"22/05/19|602|641,912"
"23/05/19|602|636,839"
"24/05/19|602|711,346"
"25/05/19|602|473,058"
"26/05/19|602|553,651"
"27/05/19|602|798,602"
"28/05/19|608|736,404"
"29/05/19|608|666,095"
"30/05/19|608|452,572"
"31/05/19|608|683,116"
"01/06/19|608|422,956"
"02/06/19|608|508,468"
"03/06/19|608|520,328"
"04/06/19|608|363,856"
"05/06/19|608|251,404"
"06/06/19|608|226,710"
"07/06/19|608|261,759"
"08/06/19|608|254,797"
"09/06/19|608|371,282"
"10/06/19|608|619,262"
"11/06/19|608|588,714"
"12/06/19|608|584,638"
"13/06/19|608|586,061"
"14/06/19|608|574,057"
"15/06/19|608|386,640"
"16/06/19|608|452,801"
"17/06/19|608|598,905"
"18/06/19|626|519,948"
"19/06/19|626|521,881"
"20/06/19|626|513,710"
"21/06/19|626|534,064"
"22/06/19|626|422,210"
"23/06/19|626|478,115"
"24/06/19|632|575,861"
"25/06/19|632|455,493"
"26/06/19|632|561,233"
"27/06/19|632|553,436"
"28/06/19|632|581,412"
"29/06/19|632|425,828"
"30/06/19|632|518,318"
"01/07/19|632|653,455"
"02/07/19|647|487,516"
"03/07/19|647|576,718"
"04/07/19|647|568,100"
"05/07/19|647|627,866"
"06/07/19|647|434,457"
"07/07/19|647|493,929"
"08/07/19|647|672,705"
"09/07/19|662|576,964"
"10/07/19|660|602,223"
"11/07/19|660|575,776"
"12/07/19|660|587,559"
"13/07/19|660|437,619"
"14/07/19|660|430,487"
"15/07/19|660|641,724"
"16/07/19|669|576,387"
"17/07/19|669|583,290"
"18/07/19|669|574,755"
"19/07/19|669|592,864"
"20/07/19|669|456,229"
"21/07/19|669|524,465"
"22/07/19|676|675,769"
"23/07/19|682|621,710"
"24/07/19|682|595,436"
"25/07/19|682|604,756"
"26/07/19|678|641,892"
"27/07/19|678|470,961"
"28/07/19|678|511,825"
"29/07/19|678|678,065"
"30/07/19|692|639,740"
"31/07/19|692|673,604"
"01/08/19|692|691,878"
"02/08/19|692|704,336"
"03/08/19|692|451,691"
"04/08/19|692|475,090"
"05/08/19|692|646,261"
"06/08/19|692|673,304"
"07/08/19|696|667,276"
"08/08/19|696|652,685"
"09/08/19|696|697,101"
"10/08/19|696|482,094"
"11/08/19|696|465,058"
"12/08/19|696|649,212"
"13/08/19|696|709,721"
"14/08/19|710|673,413"
"15/08/19|710|617,830"
"16/08/19|710|621,811"
"17/08/19|710|444,111"
"18/08/19|710|493,401"
"19/08/19|703|684,766"
"20/08/19|714|648,673"
"21/08/19|714|645,280"
"22/08/19|714|626,692"
"23/08/19|714|628,681"
"24/08/19|714|442,418"
"25/08/19|714|522,120"
"26/08/19|714|700,979"
"27/08/19|714|668,454"
"28/08/19|727|614,420"
"29/08/19|727|531,271"
"30/08/19|727|445,354"
"31/08/19|727|503,783"
"01/09/19|727|545,949"
"02/09/19|727|729,495"
"03/09/19|727|658,499"
"04/09/19|737|713,127"
"05/09/19|737|713,190"
"06/09/19|737|685,167"
"07/09/19|737|509,270"
"08/09/19|737|536,261"
"09/09/19|737|769,392"
"10/09/19|745|691,039"
"11/09/19|745|656,436"
"12/09/19|745|639,150"
"13/09/19|745|677,822"
"14/09/19|745|506,916"
"15/09/19|745|490,316"
"16/09/19|745|697,487"
"17/09/19|740|696,934"
"18/09/19|742|672,991"
"19/09/19|742|667,782"
"20/09/19|742|799,371"
"21/09/19|742|340,809"
"22/09/19|742|644,872"
"23/09/19|742|737,966"
"24/09/19|761|668,349"
"25/09/19|762|665,631"
"26/09/19|762|708,954"
"27/09/19|762|731,327"
"28/09/19|762|495,305"
"29/09/19|762|535,702"
"30/09/19|762|758,543"
"01/10/19|775|758,587"
"02/10/19|775|795,407"
"03/10/19|775|767,532"
"04/10/19|775|745,531"
"05/10/19|775|499,612"
"06/10/19|775|461,613"
"07/10/19|775|651,793"
"08/10/19|786|739,337"
"09/10/19|786|721,482"
"10/10/19|786|776,491"
"11/10/19|786|768,013"
"12/10/19|786|510,265"
"13/10/19|786|537,953"
"14/10/19|786|761,874"
"15/10/19|786|787,407"
"16/10/19|790|757,422"
"17/10/19|790|732,297"
"18/10/19|790|765,056"
"19/10/19|790|500,702"
"20/10/19|790|521,817"
"21/10/19|790|785,156"
"22/10/19|790|720,338"
"23/10/19|799|716,103"
"24/10/19|801|719,107"
"25/10/19|801|776,871"
"26/10/19|801|511,345"
"27/10/19|801|540,841"
"28/10/19|801|825,212"
"29/10/19|801|773,438"
"30/10/19|806|779,927"
"31/10/19|806|837,828"
"01/11/19|806|901,548"
"02/11/19|806|549,938"
"03/11/19|806|603,999"
"04/11/19|804|910,367"
"05/11/19|810|855,195"
"06/11/19|810|848,914"
"07/11/19|810|840,849"
"08/11/19|810|866,280"
"09/11/19|810|540,117"
"10/11/19|810|597,504"
"11/11/19|810|945,151"
"12/11/19|827|869,510"
"13/11/19|827|802,962"
"14/11/19|827|808,451"
"15/11/19|827|845,154"
"16/11/19|827|535,628"
"17/11/19|827|569,399"
"18/11/19|827|908,463"
"19/11/19|827|790,571"
"20/11/19|841|774,895"
"21/11/19|842|885,850"
"22/11/19|842|809,023"
"23/11/19|842|526,274"
"24/11/19|842|555,791"
"25/11/19|842|841,000"
"26/11/19|842|826,728"
"27/11/19|851|824,210"
"28/11/19|851|807,967"
"29/11/19|851|853,264"
"30/11/19|851|606,437"
"01/12/19|851|519,356"
"02/12/19|851|839,166"
"03/12/19|851|807,083"
"04/12/19|862|788,900"
"05/12/19|862|815,855"
"06/12/19|862|816,983"
"07/12/19|862|567,031"
"08/12/19|862|604,316"
"09/12/19|863|874,087"
